Flow Out Of a State By From State and Pipeline,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,"8,170","7,445","6,165","5,930","5,405","5,405","5,405","5,310","5,091","5,091","5,091","5,091","4,736","4,736","4,736","4,545","4,043","3,813","3,813","3,813","3,813","3,718","3,528","3,473","3,347",
Alabama,"1,700",975,525,525,,,,,,,,,,,,,,,,,,,,,,
Transcontinental Gas P L Co,"1,700",975,525,525,,,,,,,,,,,,,,,,,,,,,,
Florida,"1,476","1,476",646,411,411,411,411,411,411,411,411,411,56,56,56,56,56,56,56,56,56,56,56,56,56,
Sabal Trail,830,830,,,,,,,,,,,,,,,,,,,,,,,,
Southern Natural Gas Co,646,646,646,411,411,411,411,411,411,411,411,411,56,56,56,56,56,56,56,56,56,56,56,56,56,
South Carolina,"4,843","4,843","4,843","4,843","4,843","4,843","4,843","4,748","4,529","4,529","4,529","4,529","4,529","4,529","4,529","4,338","3,836","3,606","3,606","3,606","3,606","3,606","3,416","3,361","3,246",
Dominion Carolina Gas Transmission,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,0,0,0,0,0,0,0,0,0,
Southern Natural Gas Co,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,316,266,266,266,266,266,266,221,221,221,
Transcontinental Gas P L Co,"4,199","4,199","4,199","4,199","4,199","4,199","4,199","4,104","3,885","3,885","3,885","3,885","3,885","3,885","3,885","3,832","3,570","3,340","3,340","3,340","3,340","3,340","3,195","3,140","3,025",
Tennessee,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,56,56,56,45,
Southern Natural Gas Co,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,56,56,56,45,
Gulf of Mexico,"22,671","22,671","22,671","22,671","23,151","23,151","23,151","23,151","23,151","23,151","24,361","24,361","24,361","24,361","24,211","24,202","23,940","23,940","23,902","23,902","23,733","21,483","19,972","18,877","18,477","1,919"
Alabama,"2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,387","2,125","2,125","2,125","2,125","1,956","1,606","1,295","1,000",600,
Chandeleur Pipeline Co,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,
Dauphin Island Gathering System,"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100",931,931,695,400,0,
Mobile Bay Producers,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
Transcontinental Gas P L Co,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,350,350,350,350,350,0,0,0,0,
Louisiana,"16,784","16,784","16,784","16,784","16,784","16,784","16,784","16,784","16,784","16,784","17,994","17,994","17,994","17,994","17,844","17,844","17,844","17,844","17,844","17,844","17,844","16,944","15,744","14,944","14,944","1,919"
ANR Pipeline Co,,,,,,,,"1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919","1,919"
Columbia Gulf Trans Co,0,0,0,0,0,0,0,0,0,0,"1,210","1,210","1,210","1,210","1,210","1,210","1,210","1,210","1,210","1,210","1,210","1,210","1,210","1,210","1,210",
Delfin LNG (UTOS Pipeline),"1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040","1,040",
Discovery PL Co,750,750,750,750,750,750,750,750,750,750,750,750,750,750,600,600,600,600,600,600,600,600,0,0,0,
Gulf South Pipeline Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
High Point Gas Transmission,650,650,650,650,650,650,650,,,,,,,,,,,,,,,,,,,
"Kinetica Partners, LLC","5,136","5,136","5,136","3,217","3,217","3,217","3,217",,,,,,,,,,,,,,,,,,,
Mississippi Canyon Gas PL Co,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,0,0,
Nautilus Pipeline Co,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,0,0,0,
Sea Robin Pipeline Co,"2,793","2,793","2,793","2,793","2,793","2,793","2,793","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046","1,046",
Southern Natural Gas Co,,,,,,,,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,
Stingray Pipeline Co,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,
TC Offshore LLC,,,,"1,919","1,919","1,919","1,919",,,,,,,,,,,,,,,,,,,
Tennessee Gas Pipeline Co,,,,,,,,"3,217","3,217","3,217","3,217","3,217","3,217","3,217","3,217","3,217","3,217","3,217","3,217","3,217","3,217","2,817","2,817","2,817","2,817",
Texas Eastern Trans Corp,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,
Texas Gas Transmission Co,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,
Transcontinental Gas P L Co,"2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644","2,644",
Trunkline Gas Co,0,0,0,0,0,0,0,"1,747","1,747","1,747","1,747","1,747","1,747","1,747","1,747","1,747","1,747","1,747","1,747","1,747","1,747","1,247","1,247","1,247","1,247",
Venice Gathering System,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,
Mississippi,"1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,313","1,313","1,313","1,275","1,275","1,275",275,275,275,275,
Chandeleur Pipeline Co,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,313,313,313,275,275,275,275,275,275,275,
Destin Pipeline Co,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",0,0,0,0,
Texas,"2,178","2,178","2,178","2,178","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658","2,658",
Black Marlin Pipeline Co,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,
Blue Dolphin Pipeline Co,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,
Florida Gas Trans Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Houston Pipeline Co,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,
Matagorda Offshore Pipeline System (MOPS),0,0,0,0,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,
Mustang Island,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
Nat Gas P L Co Of America,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,
Panther Interstate Pipeline Energy Fish Hook,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,
Southern Natural Gas Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TOMCAT Matagorda Gathering,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,
Transcontinental Gas P L Co,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
Gulf of Mexico - Deepwater,"6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","5,710","5,710","5,710","4,460","4,460","4,460","4,160","4,160","4,160","4,160","3,760","3,760","3,760","1,960","1,960","1,960",
Gulf of Mexico,"6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","5,710","5,710","5,710","4,460","4,460","4,460","4,160","4,160","4,160","4,160","3,760","3,760","3,760","1,960","1,960","1,960",
Anaconda Gathering System,550,550,550,550,550,550,550,550,550,550,550,550,300,300,300,,,,,,,,,,,
Canyon Chief,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
East Breaks Gathering,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,,,,,,,
Guarden Banks Pipeline,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",,,,
High Island Offshore Sys,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
