Major Pipeline Crossing Multiple State Borders (Capacity in MMcfd),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
,Columbia Gulf Trans Co,M1,Gulf of Mexico,Louisiana,0,0,0,0,0,0,0,0,0,0,"1,210","1,210"
,Columbia Gulf Trans Co,M2,Louisiana,Mississippi,"2,576","2,576","2,576","2,576","2,576","2,576","2,576","2,576","2,576","2,576","2,576","2,576"
,Columbia Gulf Trans Co,M3,Mississippi,Tennessee,"2,268","2,268","2,268","2,268","2,268","2,268","2,268","2,268","2,268","2,268","2,268","2,268"
,Columbia Gulf Trans Co,M4,Tennessee,Kentucky,"2,317","2,317","2,317","2,317","2,317","2,317","2,317","2,317","2,317","2,317","2,317","2,317"
,Columbia Gulf Trans Co,M4 Back,Kentucky,Tennessee,"1,856","1,856","1,317",908,540,540,0,0,0,0,0,0
,Columbia Gulf Trans Co,M3 Back,Tennessee,Mississippi,"1,852","1,852","1,313",908,540,540,0,0,0,0,0,0
,Columbia Gulf Trans Co,Main Line,Max Capacity (Southward),,"1,856","1,856","1,317",908,540,540,0,0,0,0,0,0
,Columbia Gulf Trans Co,Main Line,Max Capacity (Northward),,"2,576","2,576","2,576","2,576","2,576","2,576","2,576","2,576","2,576","2,576","2,576","2,576"
,,,,,,,,,,,,,,,,
,Dominion Cove Point LNG LP,M1,Maryland,Virginia,"1,385","1,385","1,385","1,385","1,385","1,385","1,385","1,385","1,385","1,385","1,385",585
,Dominion Cove Point LNG LP,M1 Back,Virginia,Maryland,"1,257","1,257","1,150","1,018","1,018","1,018","1,018","1,018","1,018","1,018","1,018","1,018"
,Dominion Cove Point LNG LP,Main Line,Max Capacity (Eastward),,"1,385","1,385","1,385","1,385","1,385","1,385","1,385","1,385","1,385","1,385","1,385",585
,Dominion Cove Point LNG LP,Main Line,Max Capacity (Westward ),,"1,257","1,257","1,150","1,018","1,018","1,018","1,018","1,018","1,018","1,018","1,018","1,018"
,,,,,,,,,,,,,,,,
,Dominion Transmission Co,M1,West Virginia,Ohio,959,959,959,709,709,709,709,709,709,709,709,709
,Dominion Transmission Co,M2,Ohio,Pennsylvania,560,560,560,560,560,560,560,560,560,560,560,560
,Dominion Transmission Co,M3,West Virginia,Pennsylvania,"1,469","1,469","1,469","1,469","1,469","1,284","1,284",800,800,800,800,800
,Dominion Transmission Co,M4,Pennsylvania,New York,"1,113","1,113","1,001","1,001","1,001","1,001","1,001","1,151","1,151","1,151","1,151","1,151"
,Dominion Transmission Co,M5,Pennsylvania,Maryland,924,924,769,769,769,769,769,769,769,769,769,769
,Dominion Transmission Co,M6,Maryland,Virginia,622,622,467,467,467,467,467,467,467,467,467,467
,Dominion Transmission Co,M6 Back,Virginia,Maryland,700,700,700,700,700,700,700,700,700,700,700,0
,Dominion Transmission Co,M5 Back,Maryland,Pennsylvania,700,700,700,700,700,700,700,700,700,700,700,0
,Dominion Transmission Co,M4 Back,New York,Pennsylvania,150,150,150,150,150,150,150,150,150,150,150,150
,Dominion Transmission Co,M3 Back,Pennsylvania,West Virginia,245,245,245,245,245,245,245,245,245,21,21,21
,Dominion Transmission Co,M2 Back,Pennsylvania,Ohio,595,595,595,465,465,465,465,465,465,465,465,465
,Dominion Transmission Co,Main Line,Max Capacity (West),,"1,469","1,469","1,469","1,469","1,469","1,284","1,284","1,151","1,151","1,151","1,151","1,151"
