State Inflow Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),,year,,,,,,,,,,,,,,,,,,,,,,,,,
,South Carolina,"1,890","1,165",715,715,190,190,190,190,190,190,190,190,190,190,190,190,55,55,55,55,55,55,55,55,55,
,Tennessee,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,62,62,62,62,62,62,62,62,
Georgia Total,,"10,460","9,735","8,455","8,455","7,930","7,930","7,930","7,710","7,491","7,366","7,366","7,366","7,366","7,366","7,366","7,175","6,390","5,760","5,743","5,543","5,543","5,391","5,246","5,191","5,076",
Gulf of Mexico,Gulf of Mexico - Deepwater,"6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","5,710","5,710","5,710","4,460","4,460","4,460","4,160","4,160","4,160","4,160","3,760","3,760","3,760","1,960","1,960","1,960",
Gulf of Mexico Total,,"6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","6,010","5,710","5,710","5,710","4,460","4,460","4,460","4,160","4,160","4,160","4,160","3,760","3,760","3,760","1,960","1,960","1,960",
Idaho,British Columbia,"2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,741","2,534","2,534","2,534","2,534","2,460","2,460","2,460","2,460",
,Oregon,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,471,
,Utah,680,680,675,675,675,675,675,675,675,675,675,675,675,675,675,675,464,464,444,444,444,444,444,444,444,
,Washington,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,
Idaho Total,,"3,961","3,961","3,956","3,956","3,956","3,956","3,956","3,956","3,956","3,956","3,956","3,956","3,956","3,956","3,956","3,956","3,745","3,538","3,518","3,518","3,518","3,444","3,444","3,444","3,434",
Illinois,Indiana,"5,028","4,678","3,928","4,328","1,928","1,928","1,928","1,928","1,928","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","2,078","1,944","1,944","1,944","1,250"
,Iowa,"5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,943","5,813","5,738","5,738","5,738","5,570","5,375","3,743","3,743","2,963","2,963","2,941","2,891",513
,Kentucky,"1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,544","1,799","1,799","1,799","1,799","1,799","1,799","1,799",
,Missouri,"5,887","5,887","5,887","5,887","5,887","5,887","5,887","5,887","5,887","5,887","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087","4,087",
,Wisconsin,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,659,659,550,550,550,550,550,
Illinois Total,,"19,102","18,752","18,002","18,402","16,002","16,002","16,002","16,002","16,002","16,152","14,352","14,352","14,352","14,222","14,147","14,147","14,147","13,979","13,998","12,366","12,257","11,477","11,343","11,321","11,271","1,763"
Indiana,Illinois,"9,594","9,594","9,594","9,594","9,594","9,594","9,594","9,594","9,594","9,444","7,539","7,539","7,294","7,164","7,164","7,164","6,921","6,291","5,532","4,812","4,702","4,702","4,568","4,568","4,568","1,250"
