Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Dominion Transmission Co,M4,Pennsylvania,New York,1113.0,1113.0,1001.0,1001.0,1001.0,1001.0,1001.0,1151.0,1151.0,1151.0,1151.0,1151.0
Dominion Transmission Co,M5,Pennsylvania,Maryland,924.0,924.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0,769.0
Dominion Transmission Co,M6,Maryland,Virginia,622.0,622.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0
Dominion Transmission Co,M6 Back,Virginia,Maryland,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,0.0
Dominion Transmission Co,M5 Back,Maryland,Pennsylvania,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,0.0
Dominion Transmission Co,M4 Back,New York,Pennsylvania,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Dominion Transmission Co,M3 Back,Pennsylvania,West Virginia,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,21.0,21.0,21.0
Dominion Transmission Co,M2 Back,Pennsylvania,Ohio,595.0,595.0,595.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0
East Tennessee Nat Gas Co,M1,Tennessee,Georgia,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0
East Tennessee Nat Gas Co,M2,Tennessee,Virginia,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
East Tennessee Nat Gas Co,L1,Virginia,North Carolina,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,570.0,315.0
East Tennessee Nat Gas Co,M2 Back,Virginia,Tennessee,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,70.0,70.0,70.0,70.0
El Paso Nat Gas Co,M1,Texas,New Mexico,3252.0,3070.0,3070.0,3070.0,3070.0,3070.0,3070.0,3070.0,3070.0,3070.0,3070.0,3070.0
El Paso Nat Gas Co,M2,New Mexico,Arizona,4679.0,4497.0,4497.0,4497.0,4497.0,4497.0,4497.0,4497.0,4685.0,4685.0,4685.0,4685.0
El Paso Nat Gas Co,M3,Arizona,California,4174.0,3992.0,3992.0,3992.0,3992.0,3992.0,3992.0,3992.0,3992.0,3992.0,3992.0,3992.0
El Paso Nat Gas Co,L1,Oklahoma,Texas,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
El Paso Nat Gas Co,L2,Colorado,New Mexico,790.0,790.0,790.0,790.0,790.0,790.0,790.0,790.0,790.0,790.0,790.0,790.0
El Paso Nat Gas Co,L3,Texas,Mexico,910.0,910.0,910.0,910.0,910.0,910.0,308.0,308.0,308.0,308.0,308.0,308.0
El Paso Nat Gas Co,L4,Arizona,Mexico,512.0,512.0,512.0,489.0,489.0,489.0,489.0,251.0,251.0,251.0,251.0,251.0
El Paso Nat Gas Co,L1 Back,Texas,Oklahoma,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0
El Paso Nat Gas Co,M1 Back,New Mexico,Texas,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
Empire Pipeline Inc,M1,Ontario,New York,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,525.0
Empire Pipeline Inc,L1,Pennsylvania,New York,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,0.0,0.0,0.0,0.0
Empire Pipeline Inc,L1 Back,New York,Ontario,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,0.0,0.0,0.0,0.0
"Enable Gas Transmission, LLC",M1,Texas,Oklahoma,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Enable Gas Transmission, LLC",M2,Oklahoma,Kansas,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
"Enable Gas Transmission, LLC",M3,Oklahoma,Arkansas,1786.0,1786.0,1786.0,1786.0,1786.0,1786.0,1786.0,1786.0,1786.0,1786.0,1654.0,1654.0
"Enable Gas Transmission, LLC",M4,Arkansas,Missouri,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Enable Gas Transmission, LLC",M5,Arkansas,Texas,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
"Enable Gas Transmission, LLC",M6,Texas,Louisiana,2087.0,2087.0,2087.0,2087.0,2087.0,2087.0,2087.0,2087.0,2087.0,1813.0,1813.0,1497.0
"Enable Gas Transmission, LLC",M7,Tennessee,Arkansas,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
"Enable Gas Transmission, LLC",M8,Louisiana,Arkansas,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
"Enable Gas Transmission, LLC",M8 Back,Arkansas,Louisiana,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0
"Enable Gas Transmission, LLC",M6 Back,Louisiana,Texas,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
"Enable Gas Transmission, LLC",M4 Back,Missouri,Arkansas,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
"Enable Gas Transmission, LLC",M1 Back,Oklahoma,Texas,512.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0
"Enable Mississippi River Transmission, LLC",M1,Texas,Louisiana,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
"Enable Mississippi River Transmission, LLC",M2,Louisiana,Arkansas,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0
"Enable Mississippi River Transmission, LLC",M3,Arkansas,Missouri,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0,730.0
"Enable Mississippi River Transmission, LLC",M4,Missouri,Illinois,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0
"Enable Mississippi River Transmission, LLC",M4 Back,Illinois,Missouri,870.0,870.0,870.0,870.0,870.0,870.0,870.0,870.0,870.0,870.0,870.0,870.0
"Enable Mississippi River Transmission, LLC",M2 Back,Arkansas,Louisiana,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0
Equitrans Inc,M1,West Virginia,Ohio,850.0,850.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equitrans Inc,M2,West Virginia,Pennsylvania,934.0,934.0,934.0,934.0,934.0,934.0,934.0,410.0,410.0,333.0,333.0,333.0
Equitrans Inc,M2 Back,Pennsylvania,West Virginia,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Florida Gas Trans Co,M1,Texas,Louisiana,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
Florida Gas Trans Co,M2,Louisiana,Mississippi,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0
Florida Gas Trans Co,M3,Mississippi,Alabama,1952.0,1883.0,1883.0,1883.0,1883.0,1883.0,1883.0,1883.0,1883.0,1883.0,1883.0,1883.0
Florida Gas Trans Co,M4,Alabama,Florida,3235.0,3175.0,3175.0,3175.0,3175.0,3175.0,3175.0,3175.0,2224.0,2224.0,2224.0,2224.0
Gas Transmission Northwest,M1,British Columbia,Idaho,2741.0,2741.0,2741.0,2741.0,2741.0,2741.0,2741.0,2741.0,2741.0,2741.0,2741.0,2741.0
Gas Transmission Northwest,M2,Idaho,Washington,2561.0,2561.0,2561.0,2561.0,2561.0,2561.0,2561.0,2561.0,2561.0,2561.0,2561.0,2561.0
Gas Transmission Northwest,M3,Washington,Oregon,2131.0,2131.0,2131.0,2131.0,2131.0,2131.0,2131.0,2131.0,2131.0,2131.0,2131.0,2131.0
Gas Transmission Northwest,M4,Oregon,California,2071.0,2071.0,2071.0,2071.0,2071.0,2071.0,2071.0,2071.0,2071.0,2071.0,2071.0,2071.0
Great Lakes Gas Trans Ltd,M1,Manitoba,Minnesota,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0,2412.0
Great Lakes Gas Trans Ltd,M2,Minnesota,Wisconsin,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0
Great Lakes Gas Trans Ltd,M3,Wisconsin,Michigan,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0
Great Lakes Gas Trans Ltd,M4,Michigan,Ontario,1799.0,1799.0,1799.0,1799.0,1799.0,1799.0,1799.0,1799.0,1799.0,1799.0,1799.0,1799.0
Great Lakes Gas Trans Ltd,M4 Back,Ontario,Michigan,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0,1482.0
Great Lakes Gas Trans Ltd,M3 Back,Michigan,Wisconsin,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0
Great Lakes Gas Trans Ltd,M2 Back,Wisconsin,Minnesota,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0,2226.0
